seller_id,seller_ame,city
SEL101,TechNova Store,Mumbai
SEL102,Prime Gadgets,Delhi
SEL103,Digital World,Bengaluru
SEL104,SmartBuy Electronics,Hyderabad
SEL105,ElectroMart,Chennai
SEL106,Gadget Hub,Pune
SEL107,NextGen Tech,Ahmedabad
SEL108,Mobile Planet,Kolkata
SEL109,TechSquare,Jaipur
SEL110,ByteZone,Kochi
SEL111,Urban Threads,Mumbai
SEL112,Style Avenue,Delhi
SEL113,Trendy Wear,Bengaluru
SEL114,Fashion Point,Hyderabad
SEL115,Classic Closet,Chennai
SEL116,Cotton & Co,Pune
SEL117,Vogue Street,Ahmedabad
SEL118,StyleCraft,Kolkata
SEL119,Fashion Lane,Jaipur
SEL120,Urban Outfitters,Kochi
SEL121,HomeNest,Mumbai
SEL122,KitchenKart,Delhi
SEL123,Home Essentials,Bengaluru
SEL124,Comfort Living,Hyderabad
SEL125,Cozy Home Store,Chennai
SEL126,HomeStyle,Pune
SEL127,Kitchen World,Ahmedabad
SEL128,HomeCraft,Kolkata
SEL129,Living Space,Jaipur
SEL130,House & Kitchen,Kochi
SEL131,Book Haven,Mumbai
SEL132,Readers Corner,Delhi
SEL133,BookWorld,Bengaluru
SEL134,PageTurner Store,Hyderabad
SEL135,Knowledge Hub,Chennai
SEL136,The Book Shelf,Pune
SEL137,Classic Reads,Ahmedabad
SEL138,BookNest,Kolkata
SEL139,Literary House,Jaipur
SEL140,Reader's Choice,Kochi
SEL141,Toy Planet,Mumbai
SEL142,Kids World,Delhi
SEL143,PlayZone,Bengaluru
SEL144,FunTime Toys,Hyderabad
SEL145,Little Stars,Chennai
SEL146,Happy Kids Store,Pune
SEL147,ToyBox,Ahmedabad
SEL148,PlayHouse,Kolkata
SEL149,Kids Corner,Jaipur
SEL150,Fun & Games,Kochi
SEL151,Sports Arena,Mumbai
SEL152,Active Sports,Delhi
SEL153,Sports Hub,Bengaluru
SEL154,GamePoint,Hyderabad
