product_id,category,product_name,unit_price,seller_id,,,,,
PROD100,Apparel,Levi's 511 Jeans,"2,799",SEL114,,,,,
PROD101,Apparel,Nike Running Shoes,"6,499",SEL122,,,,,
PROD102,Apparel,Adidas Sports T-Shirt,"1,799",SEL142,,,,,
PROD103,Apparel,Puma Men's Hoodie,"2,999",SEL105,,,,,
PROD104,Apparel,Levi's Denim Jacket,"4,499",SEL102,,,,,
PROD105,Apparel,Adidas Track Pants,"2,499",SEL147,,,,,
PROD106,Apparel,Nike Casual Sneakers,"5,999",SEL151,,,,,
PROD107,Apparel,Cotton Casual Shirt,"1,299",SEL108,,,,,
PROD108,Apparel,Women's Cotton Kurti,"1,499",SEL103,,,,,
PROD109,Apparel,Women's Denim Jeans,"2,399",SEL110,,,,,
PROD110,Apparel,Levi's 511 Jeans,2999,SEL132,,,,,
PROD111,Apparel,Allen Solly Formal Shirt,1899,SEL147,,,,,
PROD112,Apparel,Van Heusen Polo T-Shirt,1699,SEL127,,,,,
PROD113,Apparel,Puma Running T-Shirt,1499,SEL141,,,,,
PROD114,Apparel,Adidas Sports Shorts,1999,SEL120,,,,,
PROD115,Apparel,Nike Dri-FIT T-Shirt,2499,SEL108,,,,,
PROD116,Apparel,Roadster Casual Jacket,3499,SEL120,,,,,
PROD117,Apparel,H&M Cotton Hoodie,2299,SEL139,,,,,
PROD118,Apparel,Bata Formal Shoes,2999,SEL131,,,,,
PROD119,Apparel,Woodland Leather Belt,1799,SEL132,,,,,
PROD120,Books,Atomic Habits,599,SEL151,,,,,
PROD121,Books,The Psychology of Money,499,SEL140,,,,,
PROD122,Books,The Alchemist,399,SEL120,,,,,
PROD123,Books,Rich Dad Poor Dad,449,SEL123,,,,,
PROD124,Books,Harry Potter and the Philosopher's Stone,699,SEL149,,,,,
PROD125,Books,The Hobbit,549,SEL149,,,,,
PROD126,Books,Think and Grow Rich,299,SEL128,,,,,
PROD127,Books,Clean Code,899,SEL130,,,,,
PROD128,Books,Python Crash Course,799,SEL111,,,,,
